class_name,quiz_title,quiz_date,max_score,student,score,recorded_by,note
Algebra A (example — replace),Quiz 1,2026-07-11,10,"Chen, Amy",9,Volunteer Name,
Algebra A (example — replace),Quiz 2,2026-07-18,10,"Chen, Amy",8,Volunteer Name,
Algebra A (example — replace),Midterm,2026-08-01,100,"Chen, Amy",88,Volunteer Name,
Algebra A (example — replace),Quiz 1,2026-07-11,10,"Patel, Sam",10,Volunteer Name,
Algebra A (example — replace),Quiz 2,2026-07-18,10,"Patel, Sam",7,Volunteer Name,
Algebra A (example — replace),Midterm,2026-08-01,100,"Patel, Sam",92,Volunteer Name,
Algebra A (example — replace),Quiz 1,2026-07-11,10,"Kim, Jordan",8,Volunteer Name,
Algebra A (example — replace),Quiz 2,2026-07-18,10,"Kim, Jordan",,Volunteer Name,not taken
Algebra A (example — replace),Midterm,2026-08-01,100,"Kim, Jordan",75,Volunteer Name,
Algebra A (example — replace),Quiz 1,2026-07-11,10,"Garcia, Mia",9,Volunteer Name,
Algebra A (example — replace),Quiz 2,2026-07-18,10,"Garcia, Mia",9,Volunteer Name,
Algebra A (example — replace),Midterm,2026-08-01,100,"Garcia, Mia",90,Volunteer Name,
Algebra A (example — replace),Quiz 1,2026-07-11,10,"Lee, Chris",7,Volunteer Name,
Algebra A (example — replace),Quiz 2,2026-07-18,10,"Lee, Chris",6,Volunteer Name,
Algebra A (example — replace),Midterm,2026-08-01,100,"Lee, Chris",70,Volunteer Name,
